Test Type,Array Size,Algorithm,Comparisons,Time (ns)
Random Array,1,Heap Sort,0,84
Random Array,1,Bubble Sort,0,42
Random Array,1,Selection Sort,0,0
Random Array,1,Insertion Sort,0,42
Sorted Array,1,Heap Sort,0,0
Sorted Array,1,Bubble Sort,0,42
Sorted Array,1,Selection Sort,0,42
Sorted Array,1,Insertion Sort,0,42
Inverse Sorted Array,1,Heap Sort,0,0
Inverse Sorted Array,1,Bubble Sort,0,42
Inverse Sorted Array,1,Selection Sort,0,0
Inverse Sorted Array,1,Insertion Sort,0,0
Random Array,2,Heap Sort,1,125
Random Array,2,Bubble Sort,1,83
Random Array,2,Selection Sort,1,83
Random Array,2,Insertion Sort,1,84
Sorted Array,2,Heap Sort,1,42
Sorted Array,2,Bubble Sort,1,0
Sorted Array,2,Selection Sort,1,41
Sorted Array,2,Insertion Sort,1,42
Inverse Sorted Array,2,Heap Sort,1,42
Inverse Sorted Array,2,Bubble Sort,1,41
Inverse Sorted Array,2,Selection Sort,1,42
Inverse Sorted Array,2,Insertion Sort,1,0
Random Array,3,Heap Sort,3,125
Random Array,3,Bubble Sort,3,41
Random Array,3,Selection Sort,3,41
Random Array,3,Insertion Sort,3,84
Sorted Array,3,Heap Sort,3,125
Sorted Array,3,Bubble Sort,3,83
Sorted Array,3,Selection Sort,3,84
Sorted Array,3,Insertion Sort,2,42
Inverse Sorted Array,3,Heap Sort,3,83
Inverse Sorted Array,3,Bubble Sort,3,41
Inverse Sorted Array,3,Selection Sort,3,42
Inverse Sorted Array,3,Insertion Sort,3,0
Random Array,4,Heap Sort,7,167
Random Array,4,Bubble Sort,6,125
Random Array,4,Selection Sort,6,84
Random Array,4,Insertion Sort,5,83
Sorted Array,4,Heap Sort,6,125
Sorted Array,4,Bubble Sort,6,125
Sorted Array,4,Selection Sort,6,125
Sorted Array,4,Insertion Sort,3,42
Inverse Sorted Array,4,Heap Sort,7,83
Inverse Sorted Array,4,Bubble Sort,6,125
